creator_id,archetype,niche_category,subscriber_count,channel_age_years,avg_retention_rate,avg_ctr,upload_freq_per_month,avg_video_length_mins,avg_video_len_std,rpm,monthly_views,revenue_90d,len_consistency_score,subscriber_tier
1917,Consistent Volume Builders,Food & Cooking,68981,3.1,29.75,6.29,19.3,9.4,1.76,2.43,11302,82.27,86.6,Mid (10K-100K)
853,High-Retention Niche Specialists,DIY & Craft Tutorials,41377,3.2,58.17,6.1,7.0,19.6,1.51,1.59,3666,17.48,88.5,Mid (10K-100K)
1412,Viral Spike Chasers,Lifestyle,138139,1.9,12.45,9.01,10.5,6.8,2.45,3.11,26151,243.97,81.4,Large (100K-500K)
2477,Consistent Volume Builders,DIY & Craft Tutorials,40000,5.2,31.54,5.76,16.7,11.8,0.88,2.73,3714,30.42,93.3,Mid (10K-100K)
2810,Emerging Dabblers,Entertainment,215,2.0,17.83,4.44,0.6,17.4,8.5,1.49,32,0.14,35.5,Micro (<1K)
1972,Consistent Volume Builders,DIY & Craft Tutorials,106980,3.2,36.89,4.32,13.4,6.0,3.17,2.57,11679,90.12,75.9,Large (100K-500K)
554,High-Retention Niche Specialists,Lifestyle,87660,2.8,54.0,4.9,6.9,10.8,1.89,1.73,5289,27.4,85.7,Mid (10K-100K)
116,Subscriber Giants,Personal Finance,1165726,5.58,46.44,3.63,11.4,17.4,0.88,3.69,209849,2320.65,93.3,Mega (500K+)
3851,Emerging Dabblers,Gaming,1874,1.0,19.36,4.09,2.6,22.7,2.8,1.81,198,1.81,78.8,Small (1K-10K)
3236,Emerging Dabblers,Tech Deep-Dive Reviews,1387,0.8,22.85,1.78,1.0,1.0,2.81,1.85,233,1.29,78.7,Small (1K-10K)
3948,Emerging Dabblers,Personal Finance,1386,1.3,14.11,3.31,4.4,16.3,6.59,1.89,91,0.52,50.0,Small (1K-10K)
1979,Consistent Volume Builders,Food & Cooking,18952,4.8,28.94,3.59,22.7,12.1,0.87,3.2,1416,13.6,93.4,Mid (10K-100K)
1441,Viral Spike Chasers,gaming,310657,1.8,21.86,9.92,4.5,6.5,4.17,2.78,30485,254.17,68.4,Large (100K-500K)
1710,Consistent Volume Builders,Travel,38855,3.2,28.25,3.89,14.0,5.0,0.65,3.09,2731,25.31,95.1,Mid (10K-100K)
2601,Consistent Volume Builders,Travel,68362,2.8,39.37,3.73,17.8,15.5,2.15,2.63,8885,70.04,83.7,Mid (10K-100K)
427,High-Retention Niche Specialists,Health & Fitness Coaching,14400,3.3,56.64,5.13,7.1,9.0,1.04,0.39,852,1.01,92.1,Mid (10K-100K)
1249,Viral Spike Chasers,Gaming,112583,2.1,11.12,9.79,4.7,8.1,7.36,1.74,21675,113.1,44.2,Large (100K-500K)
3479,Emerging Dabblers,Personal Finance,539,0.9,24.73,1.72,0.5,11.0,5.57,2.22,25,0.17,57.7,Micro (<1K)
22,Subscriber Giants,Gaming,1068409,5.7,34.14,5.94,18.7,16.4,2.35,2.58,80656,623.11,82.2,Mega (500K+)
