creator_id,archetype,niche_category,subscriber_count,channel_age_years,avg_retention_rate,avg_ctr,upload_freq_per_month,avg_video_length_mins,avg_video_len_std,rpm,monthly_views,revenue_90d
1917,Consistent Volume Builders,Food & Cooking,68981,3.1,29.75,6.29,19.3,9.4,1.76,2.43,11302,82.27
853,High-Retention Niche Specialists,DIY & Craft Tutorials,41377,3.2,58.17,6.1,7.0,19.6,1.51,1.59,3666,17.48
1412,Viral Spike Chasers,Life Style,138139,1.9,12.45,9.01,10.5,6.8,2.45,3.11,26151,243.97
2477,Consistent Volume Builders,DIY & Craft Tutorials,"40,000",5.2,31.54,5.76,16.7,11.8,0.88,2.73,3714,30.42
2810,Emerging Dabblers,Entertainment,215,2.0,17.83,4.44,0.6,17.4,8.5,1.49,32,0.14
1972,Consistent Volume Builders,  DIY & Craft Tutorials  ,"106,980",3.2,36.89,4.32,13.4,6.0,3.17,2.57,11679,90.12
554,High-Retention Niche Specialists,Lifestyle,87660,2.8,,4.9,6.9,10.8,1.89,1.73,5289,27.4
116,Subscriber Giants,Personal Finance,1165726,67 months,46.44,3.63,11.4,17.4,0.88,3.69,209849,2320.65
3851,Emerging Dabblers,Gaming,1874,1.0,19.36,4.09,2.6,22.7,2.8,,198,1.81
3236,Emerging Dabblers,Tech Deep-Dive Reviews,"1,387",0.8,22.85,1.78,1.0,1.0,2.81,1.85,233,1.29
3948,Emerging Dabblers,PERSONAL FINANCE,"1,386",1.3,14.11,3.31,4.4,16.3,6.59,1.89,91,0.52
1979,Consistent Volume Builders,Food & Cooking,18952,4.8,28.94,3.59,22.7,12.1,0.87,3.2,1416,$13.60
1441,Viral Spike Chasers,gaming,310657,1.8 yrs,21.86,9.92,4.5,6.5,4.17,2.78,30485,254.17
1710,consistent volume builders,Travel,38855,3.2,28.25,3.89,14.0,5.0,0.65,3.09,2731,25.31
2601,Consistent Volume Builders,Travel,68362,2.8,39.37,3.73,17.8,15.5,2.15,2.63,8885,$70.04
427,High-Retention Niche Specialists,Health & Fitness Coaching,14400,3.3,56.64,5.13,7.1,9.0,1.04,0.39,852,1.01
1249,Viral Spike Chasers,Gaming,112583,2.1,11.12,9.79,4.7,8.1,7.36,1.74,21675,113.1
3479,Emerging Dabblers,Personal Finance,539,0.9,24.73,1.72,0.5,11.0,5.57,2.22,25,0.17
22,Subscriber Giants,Gaming,1068409,5.7,34.14,5.94,18.7,16.4,2.35,2.58,80656,623.11
413,High-Retention Niche Specialists,Education / Test Prep,34362,3.3,50.47,5.31,7.2,19.2,1.91,1.4,4965,20.9
3282,Emerging Dabblers,DIY & Craft Tutorials,1047,1.7,23.39,4.42,0.5,15.4,4.01,2.23,75,0.5
2294,Consistent Volume Builders,DIY & Craft Tutorials,83029,1.7,34.98,3.46,22.0,13.7,1.87,2.61,11401,89.38
3885,Emerging Dabblers,Entertainment,535,1.6,18.35,2.55,2.5,5.0,4.33,2.92,100,0.88
1884,Consistent Volume Builders,Gaming,25832,3.0,36.63,5.41,20.1,14.1,2.55,2.5,3631,27.24
1862,Consistent Volume Builders,Health/Fitness,137637,1.3,27.26,5.98,14.7,4.6,1.1,3.47,27188,283.23
1579,Consistent Volume Builders,  Food & Cooking  ,124489,2.3,28.06,4.99,17.9,13.0,2.39,0.96,16129,46.26
