video_id,creator_id,archetype,niche_category,publish_date,video_length_mins,views,retention_rate,ctr,rpm,revenue
59067,2116,Consistent Volume Builders,Travel,2024-06-02,9.9,341,33.41,2.93,2.63,0.9
71585,2532,Consistent Volume Builders,Lifestyle,2024-04-03,8.1,468,32.14,3.89,3.67,1.72
49086,50,Subscriber Giants,Entertainment,2024-05-09,13.0,14536,41.44,4.58,5.31,77.25
71510,108,Subscriber Giants,Tech Deep-Dive Reviews,2024-05-18,16.3,17893,48.61,6.76,4.52,80.82
99976,246,Subscriber Giants,Tech Deep-Dive Reviews,2024-06-08,9.5,5610,32.55,7.5,4.84,27.14
92006,173,Subscriber Giants,Personal Finance,2024-04-03,12.8,18488,30.23,8.08,3.04,56.22
61213,2642,Consistent Volume Builders,Lifestyle,2024-04-23,5.4,189,25.76,5.29,2.49,0.47
102322,1920,Consistent Volume Builders,Food & Cooking,2024-04-05,12.3,1217,26.8,4.8,1.24,1.5
48964,1226,Viral Spike Chasers,Personal Finance,2024-06-20,8.6,2940,29.11,4.82,1.92,5.66
74787,833,High-Retention Niche Specialists,Entertainment,2024-05-16,23.6,523,43.75,3.32,1.15,0.6
70047,311,Subscriber Giants,Tech Deep-Dive Reviews,2024-05-14,15.5,26214,32.9,8.32,2.7,70.71
49533,2173,Consistent Volume Builders,Food & Cooking,2024-04-03,11.2,580,26.26,5.3,2.15,1.25
21138,2010,Consistent Volume Builders,DIY & Craft Tutorials,2024-06-09,12.2,1722,29.19,4.86,3.51,6.04
85254,2398,Consistent Volume Builders,Travel,2024-06-25,13.0,221,36.73,7.05,2.86,0.63
34470,188,Subscriber Giants,Entertainment,2024-04-27,11.0,4985,29.16,5.01,3.79,18.92
94411,1549,Consistent Volume Builders,Lifestyle,2024-04-29,7.5,61,34.96,4.12,2.83,0.17
65654,1986,Consistent Volume Builders,Travel,2024-06-14,5.4,145,32.21,4.95,2.11,0.31
100362,1759,Consistent Volume Builders,Health & Fitness Coaching,2024-04-11,11.1,774,33.38,5.51,1.7,1.31
50333,909,High-Retention Niche Specialists,Lifestyle,2024-05-06,19.6,351,76.32,3.75,1.25,0.44
40465,1916,Consistent Volume Builders,Lifestyle,2024-06-27,7.4,1095,24.52,5.64,3.61,3.95
81267,139,Subscriber Giants,Travel,2024-04-15,20.0,64928,38.34,10.38,2.4,155.61
65268,586,High-Retention Niche Specialists,Entertainment,2024-05-27,19.2,512,46.2,5.48,1.35,0.69
24025,2060,Consistent Volume Builders,Food & Cooking,2024-05-08,8.3,174,26.37,4.03,1.47,0.25
49800,3012,Emerging Dabblers,DIY & Craft Tutorials,2024-05-09,6.1,18,13.64,4.57,1.65,0.03
72113,2601,Consistent Volume Builders,Travel,2024-05-18,17.1,914,47.47,3.87,1.8,1.64
86029,61,Subscriber Giants,DIY & Craft Tutorials,2024-06-03,4.5,2215,46.84,7.09,4.09,9.05
17169,1538,Consistent Volume Builders,DIY & Craft Tutorials,2024-05-15,13.7,270,36.87,4.32,3.77,1.02
59889,1713,Consistent Volume Builders,Lifestyle,2024-05-07,13.3,382,41.36,6.1,1.88,0.72
